Name,Crust,Cheese,Sauce,Cheese/Bread,Sauce/Bread,Expected Cost,Price,Category,New/Updated?
DiGiorno's,0.6,0.2,0.2,0.8,0.3,6,7.5,Frozen,Old
Red Baron's,0.8,0.4,0.3,0.8,0.5,6,7,Frozen,Old
Tony's,0.8,0.6,0.4,0.9,0.4,3.5,4,Frozen,New
Franchesca,0.6,0.9,0.5,0.8,0.5,5,6,Frozen,New
7eleven*,0.2,0.1,0.3,0.9,0.7,1,1.5,Fast,New
Domino's,0.1,0.4,0.3,1.8,1.4,5,10,Fast,Old
Papa John's,0.3,0.4,0.4,0.8,1.2,5,8,Fast,Old
Little Ceasers,0.3,0.3,0.5,0.7,0.9,5,5,Fast,Old
Enjay's,0.8,0.8,0.9,0.4,0.6,12,18,UCity,Old
PFC*,1,0.7,0.7,0.8,0.9,2,2.5,UCity,Old
Al-Addin*,1,0.6,0.8,1,1,2,2.5,UCity,Old
Dock Street,0.9,0.8,0.9,1,1,9,15.5,UCity,Old
Savas,1,0.8,0.5,0.8,0.9,10,12,UCity,Old
Zavino,0.7,0.4,0.5,0.4,0.6,12,15,UCity,Old
Nomad Pizza,0.4,1,1,0.6,0.8,12,13,SPhilly,Old
Barbuzzo,0.5,1,0.9,0.6,1.3,10,14,SPhilly,Old
Lazaro*,0.7,0.7,0.8,0.8,0.7,2.5,3.5,SPhilly,Old
Santucci's,0.7,1,1,0.8,0.9,14,16,SPhilly,Old
Rosa's,0.6,0.6,0.8,0.8,0.6,1.5,1.5,Center,New
Pizza Vetri,0.7,0.8,0.9,1,0.9,10,14,Center,Old
Lorenzo & Son*,0.8,0.4,0.4,0.8,0.5,2,3.5,Center,Old
Metropolitan,1,1,0.9,1,0.7,13,15,Center,New
Pizza Brain*,0.8,1,0.9,0.9,0.7,10,16,NLib,Old
Pizzeria Beddia,0.6,0.9,0.8,1,1,12,16,NLib,Old
